question,answer,choices.0.text,choices.0.correct,choices.1.text,choices.1.correct,choices.2.text,choices.2.correct,choices.3.text,choices.3.correct,images,category
"การใช้ไฟสูงที่ถูกต้องและไม่เสียมารยาท",การใช้ไฟสูงที่ถูกต้องและไม่เสียมารยาท ท่านควรเปิดไฟสูงเพื่อตรวจสอบสภาพถนนและริมถนน เฉพาะเส้นทางที่มืดมากและไม่มีรถวิ่งอยู่ด้านหน้าหรือสวนทางมา และปิดไฟสูงทันทีที่มีรถวิ่งอยู่ด้านหน้าหรือสวนทางมา,เปิดไฟสูงเพื่อตรวจสอบสภาพถนนและริมถนน เฉพาะเส้นทางที่มืดมากและไม่มีรถวิ่งอยู่ด้านหน้าหรือสวนทางมา และปิดไฟสูงทันทีที่มีรถวิ่งอยู่ด้านหน้าหรือสวนทางมา,true,เปิดไฟสูงแทนไฟส่องสว่างเมื่อวิ่งบนถนนต่างจังหวัดที่ไม่มีไฟฟ้าส่องสว่างสองข้างทางและสามารถมองเห็นไฟท้ายรถคันหน้า,false,เปิดไฟสูงทุกครั้งเมื่อวิ่งเข้าทางโค้งที่มืดมากและมีรถวิ่งอยู่ด้านหน้าหรือสวนทางมา,false,เปิดไฟสูงทุกครั้งเมื่อวิ่งบนถนนซึ่งเป็นทางขึ้นเนินหรือลงเนินที่ไม่มีไฟฟ้าส่องสว่างข้างทางและสามารถ มองเห็นไฟหน้ารถที่วิ่งสวนทางมา,false,[  ],มารยาทและจิตสำนึก
"การกระทำใดของผู้ขับรถซึ่งเป็นการกระทำที่แสดงถึงความมีมารยาทและน้ำใจให้แก่ผู้ใช้ถนนร่วมกัน",การกระทำที่แสดงถึงความมีมารยาทและน้ำใจให้แก่ผู้ใช้ถนนร่วมกัน คือ ไม่หยุดรถบนเส้นทแยงสีเหลืองหรือบริเวณปากซอยและเปิดทางให้รถในเส้นทางอื่นสามารถขับรถผ่านไปได้ในขณะที่รถท่านติดการจราจร,ขับรถแซงคิวแทรกเข้าตรงเชิงสะพานหรือก่อนเข้าซอย,false,ขับรถบนไหล่ทางเพื่อไปแทรกเข้าด้านหน้าในช่องจราจรปกติ,false,กลับรถบนถนนที่มีช่องจราจรสวนทางกันในลักษณะกีดขวางการจราจร,false,ไม่หยุดรถบนเส้นทแยงสีเหลืองหรือบริเวณปากซอยและเปิดทางให้รถในเส้นทางอื่นสามารถขับผ่านไปได้ในขณะที่รถท่านติดการจราจร,true,[  ],มารยาทและจิตสำนึก
"ข้อใดเป็นพฤติกรรมที่ถูกต้องและแสดงมารยาทที่ดีของผู้ขับรถยนต์",เพื่อความปลอดภัยของผู้ใช้รถใช้ถนนร่วมกัน ผู้ขับขี่ที่มีจิตสำนึกความปลอดภัยและมีมารยาทที่ดี ควรกลับรถที่จุดกลับรถทุกครั้งแม้จะอยู่ไกล  การกลับรถที่จุดกลับรถทุกครั้งแม้จะอยู่ไกล เป็นพฤติกรรมที่ถูกต้องและแสดงมารยาทที่ดีของผู้ขับรถยนต์,ไม่ใช่ผู้พิการแต่จอดรถในพื้นที่จอดรถของผู้พิการ,false,ต้องการไปทางตรงแต่ขับรถในช่องจราจรเลี้ยวซ้ายหรือเลี้ยวขวาหรือกลับรถ,false,กลับรถที่จุดกลับรถทุกครั้งแม้จะอยู่ไกล,true,จอดรถขวางรถคันอื่นโดยเข้าเกียร์และเบรกมือ,false,[  ],มารยาทและจิตสำนึก
"เมื่อขับรถเข้าเขตชุมชนที่มีการจราจรติดขัด ผู้ขับรถควรทำอย่างไร",เมื่อขับรถเข้าเขตชุมชนที่มีการจราจรติดขัด ผู้ขับรถควรขับช้าๆ โดยระมัดระวังคนเดิน ใช้แตรเมื่อจำเป็นเพื่อเตือนคนเดินถนนหรือรถคันอื่นเท่านั้น,บีบแตรเพื่อเร่งรถคันหน้าและเตือนคนเดินถนนให้หลีกทางไป,false,ขับช้าๆ โดยระมัดระวังคนเดิน ใช้แตรเมื่อจำเป็นเพื่อเตือนคนเดินถนนหรือรถคันอื่นเท่านั้น,true,ขับเบียดรถที่จอดหรือคนเดินถนนโดยล้ำไปยังช่องจราจรที่สวนมา,false,ขับย้อนศรเพื่อหนีการจราจรติดขัดไปยังเส้นทางอื่น,false,[  ],มารยาทและจิตสำนึก
"ในขณะที่ท่านขับรถและสังเกตเห็นว่าด้านหน้ามีผู้กำลังจะข้ามถนน ท่านจะทำอย่างไร",ในขณะที่ท่านขับรถและสังเกตเห็นว่าด้านหน้ามีผู้กำลังจะข้ามถนน ท่านต้องลดความเร็วและหยุดรถด้วยความปลอดภัย เพื่อให้คนข้ามถนน,พยายามขับรถผ่านไปอย่างรวดเร็ว,false,บีบแตรเสียงดัง และขับรถผ่านไปอย่างรวดเร็ว,false,ลดความเร็วและหยุดรถด้วยความปลอดภัย เพื่อให้คนข้ามถนน,true,เบรกหยุดรถอย่างรวดเร็ว เพื่อให้คนข้ามถนน,false,[  ],มารยาทและจิตสำนึก
"หากมีผู้ขับรถกำลังกลับรถเข้ามาในช่องทางที่ท่านขับรถอยู่ ท่านจะตัดสินใจทำอย่างไร",หากมีผู้ขับรถกำลังกลับรถเข้ามาในช่องทางที่ท่านขับรถอยู่ ท่านควรมีใจกรุณาโอบอ้อมอารีให้ทางแก่ผู้กลับรถ,มีใจกรุณาโอบอ้อมอารีให้ทางแก่ผู้กลับรถ,true,หงุดหงิด บีบแตรไล่ แต่หยุดรถให้,false,เร่งความเร็วเพื่อขอทางไม่ให้กลับรถ,false,หลบรถโดยแซงไปอีกช่องทางหนึ่ง,false,[  ],มารยาทและจิตสำนึก
"ในการขับรถช่วงเวลากลางคืน ควรที่จะมีการใช้ไฟหน้ารถอย่างไร",ในการขับรถช่วงเวลากลางคืน ท่านควรเปิดไฟต่ำเมื่อมีรถอยู่ด้านหน้าและรถสวนทางมา,เปิดไฟสูง ตลอดเวลาที่ขับขี่,false,เปิดทั้งไฟหน้า และไฟตัดหมอก,false,เปิดไฟหน้า ไฟตัดหมอก และไฟกระพริบฉุกเฉิน,false,เปิดไฟต่ำเมื่อมีรถอยู่ด้านหน้าและรถสวนทางมา,true,[  ],มารยาทและจิตสำนึก
"การขับรถผ่านช่วงทางโค้ง ทางร่วม ทางแยก ในช่วงเวลากลางคืนควรจะมีวิธีการใช้ไฟหน้ารถที่เหมาะสมอย่างไร",เมื่อขับรถผ่านช่วงทางโค้ง ทางร่วม ทางแยก ในช่วงเวลากลางคืน ก่อนเข้าโค้งท่านควรกะพริบไฟ และลดเป็นไฟต่ำเมื่อมีรถสวนทาง,ชะลอความเร็วก่อนเข้าทางแยก แล้วกระพริบไฟและเปิดไฟฉุกเฉิน,false,ก่อนเข้าโค้ง ให้กระพริบไฟ และลดเป็นไฟต่ำเมื่อมีรถสวนทาง,true,ชะลอความเร็วก่อนเปิดไฟสูง,false,ชะลอความเร็วก่อนเปิดไฟต่ำ,false,[  ],มารยาทและจิตสำนึก
"การขับรถผ่านชุมชน โรงเรียน หรือสถานที่ที่มีคนพลุกพล่าน ควรปฏิบัติอย่างไร",เมื่อขับขี่รถผ่านชุมชน โรงเรียน หรือสถานที่ที่มีคนพลุกพล่าน ท่านควรชะลอความเร็ว และใช้ความระมัดระวังในการขับขี่,ชะลอความเร็ว บีบแตรเสียงดัง และใช้ความระมัดระวัง,false,ชะลอความเร็ว และใช้ความระมัดระวังในการขับขี่,true,บีบแตรและชะลอความเร็ว,false,บีบแตร และเร่งความเร็วเพื่อให้พ้นไปโดยเร็ว,false,[  ],มารยาทและจิตสำนึก
"หากในขณะขับรถ ท่านสังเกตเห็นรถโดยสารสาธารณะ รถบรรทุกหรือรถอื่นๆ ที่ผู้ขับรถมีพฤติกรรมขับรถประมาท น่าหวาดเสียวและอาจจะเกิดอุบัติเหตุขึ้นได้ ท่านจะจัดการอย่างไร",หากในขณะขับรถ ท่านสังเกตเห็นรถโดยสารสาธารณะ รถบรรทุกหรือรถอื่นๆ ที่ผู้ขับรถมีพฤติกรรมขับรถประมาท น่าหวาดเสียวและอาจจะเกิดอุบัติเหตุขึ้นได้ ท่านควรชะลอรถให้ห่างจากรถคันดังกล่าว และแจ้งเจ้าหน้าที่ตำรวจโดยด่วน,เปิดไฟฉุกเฉินแจ้งเตือนรถคันหลัง,false,ขับรถขึ้นแซงให้พ้นไปอย่างรวดเร็ว,false,ขับรถไล่ตาม และบีบแตรเพื่อให้หยุดพฤติกรรมดังกล่าว,false,ควรชะลอรถให้ห่างจากรถคันดังกล่าว และแจ้งเจ้าหน้าที่ตำรวจโดยด่วน,true,[  ],มารยาทและจิตสำนึก
"ท่านคิดว่าข้อใดเป็นการขับขี่ที่ไร้ซึ่งมารยาทอย่างมาก",การขับรถจี้ท้าย และบีบแตรไล่บนทางด่วนเป็นการขับขี่ที่ไร้ซึ่งมารยาทอย่างมาก,ใช้ความเร็วรถปกติ เมื่อมีรถคันอื่นกระพริบไฟขอทาง,false,ขับรถชิดซ้าย หรือให้ทางแก่รถฉุกเฉิน,false,ขับรถจี้ท้าย และบีบแตรไล่บนทางด่วน,true,ชะลอความเร็วให้รถคันอื่นแซง,false,[  ],มารยาทและจิตสำนึก
"ท่านคิดว่าข้อใดเป็นการขับขี่รถที่ไร้ซึ่งจิตสำนึก",การขับรถในขณะที่อ่อนเพลีย ง่วงนอน หรือดื่มสุรา เป็นการขับขี่รถที่ไร้ซึ่งจิตสำนึก,ขับรถในขณะที่อ่อนเพลีย ง่วงนอน หรือดื่มสุรา,true,ชะลอความเร็วและระมัดระวังเมื่อขับรถผ่านสถานศึกษาที่มีนักเรียนพลุกพล่าน,false,เมื่อรู้สึกว่าอ่อนเพลีย ง่วงนอน ให้หยุดรถพักผ่อนทันที,false,ไม่มีข้อใดถูกเลย,false,[  ],มารยาทและจิตสำนึก
"ท่านคิดว่าผู้ขับขี่ ควรปฏิบัติตนอย่างไรในการขับขี่รถให้เกิดความปลอดภัย",การขับขี่รถให้เกิดความปลอดภัย ท่านต้องไม่ประมาท มีวินัย และเคารพในกฎจราจร,พูดคุยหยอกล้อกับแฟนสาวในขณะขับรถ,false,ใช้โทรศัพท์เคลื่อนที่ในขณะขับรถ,false,ดื่มสุรา เที่ยวดึก นอนดึกเพื่อตื่นแต่เข้ามาขับรถ,false,ไม่ประมาท มีวินัย และเคารพในกฎจราจร,true,[  ],มารยาทและจิตสำนึก
"การขับรถบนทางด่วนที่ถูกต้อง เหมาะสม ควรปฏิบัติอย่างไร",การขับรถบนทางด่วนที่ถูกต้อง เหมาะสม ท่านไม่ควรขับรถเร็วเกินอัตราที่กฎหมายกำหนด,ขับรถช้าในช่องทางด้านขวา,false,ขับรถอย่างรวดเร็วในช่องทางด้านขวา,false,ไม่ขับรถเร็วเกินอัตราที่กฎหมายกำหนด,true,ไม่ให้ขับรถแซงทางด้านซ้าย,false,[  ],มารยาทและจิตสำนึก
"ข้อใดเป็นการปฏิบัติที่ถูกต้องที่สุด",ผู้ขับขี่รถที่ดี ต้องขับขี่รถโดยมีใบขับขี่ที่ถูกต้อง และปฏิบัติตามกฎจราจร,ขับรถโดยมีใบขับขี่ที่ถูกต้อง และปฏิบัติตามกฎจราจร,true,ศึกษาเรียนรู้ในกฎจราจร,false,ศึกษาเรียนรู้ในกฎจราจรทั้งในประเทศและต่างประเทศ,false,ตั้งใจฟังการถ่ายทอดอบรมเพื่อสอบใบขับขี่,false,[  ],มารยาทและจิตสำนึก
"ข้อใดเป็นการปฏิบัติที่ถูกต้อง",เพื่อป้องกันอุบัติเหตุที่เกิดจากสภาพรถชำรุด ท่านต้องให้ความสำคัญกับการตรวจเช็กรถตามคู่มือประจำรถ,ตรวจเช็กบ้าง ไม่ตรวจเช็กบ้าง,false,ไม่เคยตรวจสอบ ดูแล บำรุงรักษารถ,false,ตรวจสอบรถปีละ 1 ครั้ง,false,ตรวจเช็กรถตามคู่มือประจำรถ,true,[  ],มารยาทและจิตสำนึก
"ข้อใด ถือได้ว่าเป็นผู้ขับขี่ที่มีจิตสำนึก",ผู้ขับขี่ที่มีจิตสำนึกความปลอดภัยควรเตรียมความพร้อมทั้งรถและคนก่อนออกเดินทาง,เตรียมความพร้อมทั้งรถและคนก่อนออกเดินทาง,true,ตรวจสอบดูแลรักษารถอย่างสม่ำเสมอ,false,ขับรถเร่งแซงเพื่อให้ถึงที่หมายอย่างรวดเร็วและทันเวลา,false,ขับรถช้าชิดขวาตลอดเส้นทาง,false,[  ],มารยาทและจิตสำนึก
"การขับรถในช่วงเวลาที่ฝนตกหนักท่านควรขับขี่อย่างไร",การขับรถในช่วงเวลาที่ฝนตกหนักท่านควรลดความเร็ว ขับอย่างระมัดระวัง เปิดไฟหน้ารถและที่ปัดน้ำฝน,ค่อยๆ ขับ และเปิดไฟสูงหน้ารถ,false,ลดความเร็ว ขับอย่างระมัดระวัง เปิดไฟหน้ารถและที่ปัดน้ำฝน,true,ขับอย่างระมัดระวังและเปิดไฟหน้ารถและไฟตัดหมอก,false,หยุดรถบนถนน และรอจนกว่าฝนจะหยุดตกแล้วค่อยขับต่อไป,false,[  ],มารยาทและจิตสำนึก
"การขับรถในทางขึ้นเขา ลงเขา และมีโค้งอันตรายอยู่ตลอดทาง ท่านควรขับขี่อย่างไร",การขับรถในทางขึ้นเขา ลงเขา และมีโค้งอันตรายอยู่ตลอดทาง ท่านต้องใช้ความเร็ว และเกียร์ ให้ถูกต้องและเหมาะสม,เหยียบเบรกตลอดการลงเขาและใช้เกียร์สูง,false,ต้องเร่งความเร็วของรถเพื่อขึ้นเขาและลงเขา,false,ต้องใช้ความเร็ว และเกียร์ ให้ถูกต้องเหมาะสม,true,ใช้เกียร์สูงขณะขึ้นเขา ลงเขา และเข้าโค้ง,false,[  ],มารยาทและจิตสำนึก
"ก่อนใช้รถท่องเที่ยวในระยะทางไกลๆ ท่านควรเตรียมความพร้อมอย่างไร",ก่อนใช้รถท่องเที่ยวในระยะทางไกลๆ ท่านควรศึกษาเส้นทาง นอนหลับพักผ่อนให้เพียงพอ,ศึกษาเส้นทาง นอนหลับพักผ่อนให้เพียงพอ,true,ศึกษาเส้นทาง อ่านหนังสือคู่มือท่องเที่ยวจนดึก,false,เติมน้ำมันหล่อลื่นให้มากกว่าค่าที่กำหนดเผื่อรั่ว,false,ลดความดันลมยางเพื่อให้เกาะถนนมากขึ้น,false,[  ],มารยาทและจิตสำนึก
"หากมีผู้ขับรถจี้ท้ายรถท่านในช่องทางขวาสุดและบีบแตรไล่หลังทั้งที่ช่องทางด้านซ้ายก็ว่างอยู่ ท่านควรปฏิบัติตนอย่างไร",หากมีผู้ขับรถจี้ท้ายรถท่านในช่องทางขวาสุดและบีบแตรไล่หลังทั้งที่ช่องทางด้านซ้ายก็ว่างอยู่ ท่านควรขับรถหลีกทาง โดยเบี่ยงไปทางช่องทางด้านซ้ายอย่างระมัดระวัง,แซงไปก่อน แล้วขับรถไล่ตลอดทาง,false,เร่งความเร็ว ไม่ให้แซงอย่างเด็ดขาด,false,ขับรถหลีกทาง ทางช่องทางด้านซ้ายอย่างระมัดระวัง,true,กระพริบไฟด้านซ้ายเป็นสัญญาณให้แซงด้านซ้าย,false,[  ],มารยาทและจิตสำนึก
"ขณะที่รถติด และรถด้านหน้ารถท่านได้ตัดสินใจใช้ช่องทางไหล่ทางด้านซ้าย และมีรถอื่นแล่นตาม ท่านจะทำอย่างไร",ขณะที่รถติด และรถด้านหน้ารถท่านได้ตัดสินใจใช้ช่องทางไหล่ทางด้านซ้าย และมีรถอื่นแล่นตาม ท่านควรขับรถในช่องทางเดิม,ขับรถในช่องทางเดิม,true,รีบกระพริบไฟด้านซ้ายให้สัญญาณ และขับตามในทันที,false,ให้สัญญาณไฟ และแซงซ้ายตามไปอย่างระมัดระวัง,false,ให้สัญญาณไฟ และแซงขวา ไปในช่องทางที่รถสวนมา,false,[  ],มารยาทและจิตสำนึก
