question,answer,choices.0.text,choices.0.correct,choices.1.text,choices.1.correct,choices.2.text,choices.2.correct,choices.3.text,choices.3.correct,images.0,category
"การหยุดรถบนทางลาดชัน ควรปฏิบัติตามลำดับอย่างไรจึงจะปลอดภัย",การหยุดรถบนทางลาดชันอย่างปลอดภัย ให้เหยียบคลัทช์ เหยียบเบรก ดึงเบรกมือ และปลดเกียร์ว่าง,เหยียบคลัทช์ เหยียบเบรก ดึงเบรกมือ และปลดเกียร์ว่าง,true,เหยียบคลัทช์ เหยียบเบรก ปลดเกียร์ว่าง,false,เหยียบคลัทช์ เหยียบเบรก ดึงเบรกมือ,false,เหยียบเบรกแล้วดึงเบรกมือ,false,,เทคนิคการขับรถอย่างปลอดภัย
"การหมุนพวงมาลัยรถ ขณะจอดรถอยู่กับที่จะมีผลอย่างไร",การหมุนพวงมาลัยรถขณะจอดรถอยู่กับที่ จะส่งผลให้ดอกยางสึกเร็วกว่าปกติ,ทำให้หมุนพวงมาลัยง่ายขึ้น,false,ดอกยางสึกเร็วกว่าปกติ,true,สิ้นเปลืองน้ำมันเพาเวอร์,false,สิ้นเปลืองน้ำมันเชื้อเพลิง,false,,เทคนิคการขับรถอย่างปลอดภัย
"การหยุดรถอย่างกะทันหัน(รถไม่ใช้เบรก ABS) ควรปฏิบัติอย่างไร",การหยุดรถอย่างกะทันหัน (รถไม่ใช้เบรก ABS) ให้เหยียบและปล่อยเบรกสลับกัน (ย้ำเบรกซ้ำๆ),เหยียบเบรกแรงๆโดยไม่ต้องถอนเบรก,false,เหยียบคลัทช์ก่อน แล้วจึงเหยียบเบรก,false,เหยียบเบรกและคลัทช์พร้อมกัน,false,เหยียบและปล่อยเบรกสลับกัน (ย้ำเบรกซ้ำๆ),true,,เทคนิคการขับรถอย่างปลอดภัย
"รถที่ขับมาด้วยความเร็วสูงแล้วเหยียบเบรกอย่างกะทันหัน(รถไม่ใช้เบรก ABS) จะมีผลอย่างไร",รถที่ขับมาด้วยความเร็วสูงแล้วเหยียบเบรกอย่างกะทันหัน (รถไม่ใช้เบรก ABS) จะส่งให้ล้อจะล็อค และรถจะหมุน,จะหยุดรถได้ตามระยะที่กำหนด,false,ล้อจะล็อค และรถจะหมุน,true,รถจะค่อยๆ ชะลอความเร็วลง,false,ล้อจะล็อค และรถจะหยุดทันที,false,,เทคนิคการขับรถอย่างปลอดภัย
"ขณะขับรถยางรถแตก จะมีอาการอย่างไร",หากยางรถแตกขณะขับรถ พวงมาลัยรถจะหนักและรถจะเอียง,พวงมาลัยรถจะไร้น้ำหนัก,false,พวงมาลัยจะหนัก รถจะเอียง,true,รถหยุดกะทันหัน,false,เบรกจะไม่ทำงาน,false,,เทคนิคการขับรถอย่างปลอดภัย
"ในขณะขับรถ ยางรถแตกหรือระเบิด ผู้ขับขี่ควรปฏิบัติอย่างไร",หากยางรถแตกหรือระเบิดขณะขับรถ ให้คุมสติ บังคับพวงมาลัย ลดความเร็วลง และไม่ควรเหยียบเบรกกะทันหัน,คุมสติ บังคับพวงมาลัย ลดความเร็วลงและไม่ควรเหยียบเบรกกะทันหัน,true,รีบเหยียบเบรกให้เร็วที่สุด,false,หมุนพวงมาลัยอย่างรวดเร็วเพื่อหลบเข้าข้างทาง,false,ปลดเกียร์ว่างแล้วรีบเหยียบเบรก,false,,เทคนิคการขับรถอย่างปลอดภัย
"ในขณะที่กำลังขับรถ ถ้าฝากระโปรงหน้ารถเปิด ผู้ขับขี่ควรปฏิบัติอย่างไร",หากฝากระโปรงหน้ารถเปิดขณะขับรถ ให้ลดความเร็วแล้วจอดข้างทาง เพื่อปิดฝากระโปรงให้เรียบร้อย,ลดความเร็วแล้วจอดข้างทาง เพื่อปิดฝากระโปรงให้เรียบร้อย,true,หักเลี้ยวรถเข้าข้างทางทันที เพื่อปิดฝากระโปรงให้เรียบร้อย,false,เบรกกะทันหัน,false,เหยียบคันเร่งให้มิดเพื่อฝากระโปรงจะได้กระแทกปิด,false,,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดเป็นวิธีแก้ไขเบื้องต้นเมื่อรถเกิดไฟลัดวงจร",วิธีแก้ไขเบื้องต้นเมื่อรถเกิดไฟลัดวงจร คือ ตัดกระแสไฟหรือหาทางตัดขั้วแบตเตอรี่ออกก่อน,หาผ้าหนา ๆ มาตบ,false,ตัดกระแสไฟ หรือหาทางงัดขั้วแบตเตอรี่ออกก่อน,true,วิ่งหาน้ำมันมาราด,false,ใช้ทรายสาดใส่,false,,เทคนิคการขับรถอย่างปลอดภัย
"การปรับระดับที่นั่งคนขับห่างเกินไป จะมีผลอย่างไร",การปรับระดับที่นั่งคนขับห่างเกินไป จะส่งผลให้การบังคับพวงมาลัยรถลำบาก ใช้อุปกรณ์ต่างๆ ไม่สะดวก เกิดเหตุฉุกเฉิน ไม่สามารถใช้คลัทช์และเบรกได้,ทำให้เข้าเกียร์ได้ง่าย,false,ทำให้ทัศนวิสัยในการมองเห็นชัดเจนดีมาก สามารถตัดสินใจได้ดี,false,บังคับพวงมาลัยลำบาก ใช้อุปกรณ์ต่างๆ ไม่สะดวก เกิดเหตุฉุกเฉินไม่สามารถใช้คลัทช์ และเบรกได้,true,ทำให้เบรกรถสะดวก,false,,เทคนิคการขับรถอย่างปลอดภัย
"การตรวจสอบว่าเข็มขัดนิรภัยยังใช้งานได้ดีหรือไม่ ควรตรวจสอบอย่างไร",วิธีการตรวจสอบว่าเข็มขัดนิรภัยยังใช้งานได้ดีหรือไม่ คือ กระตุกดึงสายเข็มขัดอย่างรวดเร็ว แล้วสายเข็มขัดต้องล็อค,กระตุกดึงสายเข็มขัดอย่างเร็ว แล้วสายเข็มขัดต้องล็อค,true,ดูว่าเป็นของใหม่หรือไม่,false,ดูว่าเข็มขัดมียี่ห้อหรือไม่,false,ต้องมีสีเข้มๆ,false,,เทคนิคการขับรถอย่างปลอดภัย
"ถ้ารถเสียหลักลื่นไถลพร้อมเสียการทรงตัว ควรปฏิบัติอย่างไรเป็นลำดับแรก",หากรถเสียหลักลื่นไถลพร้อมเสียการทรงตัว ให้ลดความเร็วรถ จับพวงมาลัยให้มั่น,รีบเข้าเกียร์ต่ำเพื่อชะลอความเร็ว,false,ค่อยๆ เหยียบแป้นคลัทช์,false,หมุนพวงมาลัยไปซ้ายบ้าง ขวาบ้าง,false,ลดความเร็วจับพวงมาลัยให้มั่น,true,,เทคนิคการขับรถอย่างปลอดภัย
"การจอดรถชิดขอบทาง ล้อหน้าควรอยู่ในลักษณะใด",การจอดรถชิดขอบทาง ล้อหน้าควรอยู่ในลักษณะตรงและขนานกับขอบทางหรือฟุตปาธ,หันเข้าหาขอบทาง,false,อยู่อย่างไรก็ได้,false,ตรงและขนานกับขอบทางหรือฟุตบาต,true,หันออกจากขอบทาง,false,,เทคนิคการขับรถอย่างปลอดภัย
"การเข้าเกียร์ถอยหลังขณะรถยังไม่หยุดนิ่งมีผลเสียอย่างไร",การเข้าเกียร์ถอยหลังขณะรถยังไม่หยุดนิ่ง มีผลเสียทำให้เข้าเกียร์ยากและทำให้เกียร์เสียเร็วกว่าปกติ,ไม่มีผลต่อส่วนใดของรถ,false,เข้าเกียร์ยากและทำให้เกียร์เสียเร็วกว่าปกติ,true,ทำให้น้ำมันเกียร์หมดเร็ว,false,เครื่องยนต์กินน้ำมันเครื่อง,false,,เทคนิคการขับรถอย่างปลอดภัย
"การขับรถถอยหลังควรใช้ความเร็วระดับใด",การขับรถถอยหลัง ให้ถอยอย่างช้าๆ ด้วยความระมัดระวัง,ถอยช้าๆ แล้วใช้ความระมัดระวัง,true,ถอยแบบไหนก็ได้,false,ถอยเหมือนกับเดินหน้า,false,ใช้ความเร็วตามสภาพของรถ,false,,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดเป็นการสตาร์ทเครื่องยนต์ที่ถูกต้อง",การสตาร์ทเครื่องยนต์ที่ถูกต้อง คือ ขึ้นเบรกมือ-ปลดเกียร์ว่าง-ปิดอุปกรณ์ไฟฟ้า-เหยียบคลัทช์-สตาร์ทเครื่องยนต์,ขึ้นเบรกมือ-ปลดเกียร์ว่าง -ปิดอุปกรณ์ไฟฟ้า-เหยียบคลัทช์-สตาร์ทเครื่องยนต์,true,ปลดเกียร์ว่าง-ขึ้นเบรกมือ-สตาร์ทเครื่องยนต์,false,เหยียบคลัทช์-สตาร์ทเครื่องยนต์,false,ปลดเบรกมือ-ปิดอุปกรณ์ไฟฟ้า-สตาร์ทเครื่องยนต์,false,,เทคนิคการขับรถอย่างปลอดภัย
"หากเกิดฝนตกหนักจนมองเห็นทางไม่ชัดเจน ผู้ขับขี่ควรปฏิบัติอย่างไร",หากเกิดฝนตกหนักจนมองเห็นทางไม่ชัดเจน ให้จอดรถบริเวณที่ปลอดภัย เปิดไฟหน้ารถและเปิดไฟฉุกเฉิน,จอดรถทันที,false,เปิดไฟหน้าเร่งความเร็วผ่านบริเวณที่ฝนตกหนัก,false,เร่งความเร็วให้ผ่านบริเวณที่ฝนตกโดยเร็ว,false,จอดรถบริเวณที่ปลอดภัย เปิดไฟหน้ารถและเปิดไฟฉุกเฉิน,true,,เทคนิคการขับรถอย่างปลอดภัย
"การจับพวงมาลัยขณะขับรถทางตรง มือขวาและซ้ายของผู้ขับขี่ ควรอยู่ในตำแหน่งลักษณะใดของหน้าปัดนาฬิกา",การจับพวงมาลัยขณะขับรถทางตรง มือขวาของผู้ขับขี่ควรอยู่ในตำแหน่งเลข 2 และมือซ้ายควรอยู่ในตำแหน่ง เลข 10 ของหน้าปัดนาฬิกา,ตำแหน่งเลข 2 และเลข 10,true,ตำแหน่งเลข 4 และเลข 10,false,ตำแหน่งเลข 3 และเลข 10,false,ตำแหน่งเลข 6 และเลข 10,false,,เทคนิคการขับรถอย่างปลอดภัย
"เมื่อขับรถในขณะฝนตก ท่านไม่ควรปฏิบัติอย่างไร",เมื่อขับรถในขณะฝนตก ท่านไม่ควรเปิดไฟฉุกเฉินตลอดทาง,เปิดที่ปัดน้ำฝน,false,เปิดไฟฉุกเฉินตลอดทาง,true,ขับด้วยความระมัดระวังมากขึ้น,false,ลดความเร็วของรถ,false,,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากท่านต้องการที่จะขับตรงผ่านไป ท่านควรระมัดระวังและปฏิบัติอย่างไร",จากรูป หากท่านต้องการที่จะขับตรงผ่านไป ท่านควรลดความเร็วและเพิ่มความระมัดระวังทุกครั้งก่อนถึงทางแยก,ลดความเร็วและเพิ่มความระมัดระวังทุกครั้งก่อนถึงทางแยก,true,ระวังรถด้านซ้ายเพราะอยู่ใกล้ช่องทางของเรา,false,ระวังรถทางขวาเพียงอย่างเดียว และขับต่อไป,false,ขับด้วยความเร็วเท่าเดิม,false,1.8.2.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากท่านต้องการที่จะขับตรงผ่านไป ท่านควรระมัดระวังและปฏิบัติอย่างไร",จากรูป หากท่านต้องการที่จะขับตรงผ่านไป ท่านควรชะลอรถและให้รถทางขวามือขับผ่านไปก่อน,ชะลอรถและให้รถทางขวามือขับผ่านไปก่อน,true,ขับรถต่อไปได้เลยเพราะเราคือทางเอก,false,ขับด้วยความเร็วเท่าเดิม,false,เร่งเครื่องยนต์เพื่อขับผ่านไปก่อน,false,1.8.3.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากท่านต้องการที่จะเลี้ยวขวา ท่านควรระมัดระวังและปฏิบัติอย่างไร",จากรูป หากท่านต้องการที่จะเลี้ยวขวา ท่านควรชะลอรถเนื่องจากรถคันหน้าจะเลี้ยวซ้าย,หยุดรถให้ห่างเพื่อความปลอดภัย,false,ขับไปในช่องทางขวาเพื่อเลี้ยวได้เลย,false,เลี้ยวพร้อมกับรถคันหน้าได้ทันที,false,ชะลอรถเนื่องจากรถคันหน้าจะเลี้ยวซ้าย,true,1.8.4.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากท่านพบเห็นสัญญาณจราจรเปลี่ยนเป็นสีเหลือง ท่านควรระมัดระวังและปฏิบัติอย่างไร",จากรูป หากท่านพบเห็นสัญญาณจราจรเปลี่ยนเป็นสีเหลือง ท่านควรค่อยๆ เหยียบเบรกย้ำๆ เพื่อเตือนรถข้างหลังระวังและเตรียมหยุด,เร่งความเร็วและขับผ่านไป,false,บีบแตรและขับผ่านไป,false,ค่อยๆ เหยียบเบรกย้ำๆ เพื่อเตือนรถข้างหลังระวังและเตรียมหยุด,true,เหยียบเบรกเพื่อหยุดรถทันที,false,1.8.5.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากท่านต้องการที่จะเลี้ยวซ้าย ท่านควรระมัดระวังและปฏิบัติอย่างไร",จากรูป หากท่านต้องการที่จะเลี้ยวซ้าย ท่านควรลดความเร็ว และระมัดระวังรถด้านซ้าย รวมทั้งคนเดิมข้ามถนน,ลดความเร็ว และระมัดระวังรถด้านซ้าย รวมทั้งคนเดิมข้ามถนน,true,เลี้ยวซ้ายได้ทันที,false,เร่งความเร็วเพื่อให้สามารถเลี้ยวได้เร็ว,false,บีบแตรก่อนทำการเลี้ยวรถ,false,1.8.6.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากท่านต้องการที่จะเลี้ยวซ้าย ท่านควรระมัดระวังและปฏิบัติอย่างไร",จากรูป หากท่านต้องการที่จะเลี้ยวซ้าย ท่านควรเปิดสัญญาณไฟเลี้ยว ชะลอรถ หยุดให้คนเดินถนนข้ามทางก่อ,ขับตามรถคันหน้าให้ชิดและทำการเลี้ยวทันที,false,เปิดสัญญาณไฟเลี้ยว ชะลอรถ หยุดให้คนเดินถนนข้ามทางก่อน,true,บีบแตรเพื่อให้คนเดินข้ามถนนด้วยความรวดเร็ว,false,เปิดสัญญาณไฟฉุกเฉินเพื่อเตือนรถด้านหลัง,false,1.8.7.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากท่านต้องการที่จะเลี้ยวขวา ท่านควรระมัดระวังและปฏิบัติอย่างไร",จากรูป หากท่านต้องการที่จะเลี้ยวขวา ท่านควรหยุดรอในตำแหน่งที่จะเลี้ยวและให้รถด้านตรงข้ามผ่านไปก่อน,ควรเลี้ยวให้ทันเนื่องจากมีรถคันใหญ่ขวางรถฝั่งตรงข้าม,false,เร่งความเร็วเพื่อเลี้ยวขวาทันที,false,หยุดรอในตำแหน่งที่จะเลี้ยวและให้รถด้านตรงข้ามผ่านไปก่อน,true,ขับรถไปในช่องทางด้านขวาเพื่อทำการเลี้ยว,false,1.8.8.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากท่านต้องการที่จะเลี้ยวขวา ท่านควรระมัดระวังและปฏิบัติอย่างไร",จากรูป หากท่านต้องการที่จะเลี้ยวขวา ท่านควรเปิดสัญญาณไฟเลี้ยว ชะลอรถ หยุดให้คนเดินถนนข้ามทางก่อน,เปิดสัญญาณไฟเลี้ยว ชะลอรถ หยุดให้คนเดินถนนข้ามทางก่อน,true,ขับตามรถคันหน้าให้ชิดและทำการเลี้ยวทันที,false,บีบแตรเพื่อให้คนเดินข้ามถนนด้วยความรวดเร็ว,false,ขับรถออกในช่องทางขวาเพื่อทำการเลี้ยว,false,1.8.9.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป หากท่านต้องการขับตรงไป ท่านควรระมัดระวังและปฏิบัติอย่างไร",จากรูป หากท่านต้องการขับตรงไป ท่านควรลดความเร็วลง และให้ทางแก่รถที่เลี้ยวออกมา,บีบแตรเพื่อให้รถคันหน้าเร่งความเร็ว,false,ขับต่อไปด้วยความเร็วเท่าเดิม,false,ลดความเร็วลง และให้ทางแก่รถที่เลี้ยวออกมา,true,เปิดไฟฉุกเฉินและขับผ่านไปด้วยความรวดเร็ว,false,1.8.10.jpg,เทคนิคการขับรถอย่างปลอดภัย
"จากรูป รถคันใดอยู่ในจุดบอดของรถคันสีขาว",จากรูป รถคัน ค.อยู่ในจุดบอดของรถคันสีขาว,รถ ค.,true,รถ ก. และรถ ข.,false,รถ ข. และรถ ค.,false,รถ ก. และรถ ค.,false,1.8.11.jpg,เทคนิคการขับรถอย่างปลอดภัย
"ด้วยสาเหตุใด ผู้ขับขี่จะต้องหันหน้ามองไปทางด้านข้างก่อนทำการเปลี่ยนช่องจราจร",ผู้ขับขี่จะต้องหันหน้ามองไปทางด้านข้างก่อนทำการเปลี่ยนช่องจราจร เพื่อตรวจดูจุดบอดของรถด้านขวา,จะทำให้สามารถเปลี่ยนช่องจราจรได้รวดเร็วมากขึ้น,false,เพื่อตรวจดูจุดบอดของรถด้านขวา,true,เพื่อเปลี่ยนช่องจราจรในกรณีที่ไม่ต้องการเปิดสัญญาณไฟเลี้ยว,false,เพื่อให้สามารถเห็นผู้คนที่เดินอยู่บริเวณทางเดินเท้า,false,,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดคือความหมายที่ถูกต้องของจุดบอด",บริเวณที่คนขับไม่สามารถมองเห็นได้ชัดในขณะขับรถ คือความหมายที่ถูกต้องของจุดบอด,บริเวณด้านหลังของรถที่กระจกมองหลังจับภาพไม่ได้,false,บริเวณที่คนขับไม่สามารถมองเห็นได้ชัดในขณะขับรถ,true,บริเวณด้านหน้าของรถที่ผู้ขับขี่ไม่สามารถมองเห็นได้,false,บริเวณด้านซ้ายของรถที่ผู้ขับขี่ไม่สามารถมองเห็นได้,false,,เทคนิคการขับรถอย่างปลอดภัย
"ถ้าเครื่องดับขณะกำลังเคลื่อนที่ออกจากทางลาดชัน ท่านควรปฏิบัติอย่างไรเป็นลำดับแรก",ถ้าเครื่องดับขณะกำลังเคลื่อนที่ออกจากทางลาดชัน ท่านควรทำการเบรกทันทีเพื่อไม่ให้รถไหล,ทำการเบรกทันทีเพื่อไม่ให้รถไหล,true,เปลี่ยนไปเข้าเกียร์ว่าง,false,ติดเครื่องใหม่,false,เปิดไฟฉุกเฉิน,false,,เทคนิคการขับรถอย่างปลอดภัย
"การขับขี่ขึ้นหรือลงทางลาดชัน ควรใช้เกียร์ใด",การขับขี่ขึ้นหรือลงทางลาดชัน ควรใช้เกียร์ต่ำ,เกียร์ต่ำ,true,เกียร์สูง,false,เกียร์ว่าง,false,เกียร์ใดก็ได้,false,,เทคนิคการขับรถอย่างปลอดภัย
"ในการขับขี่ลงทางลาดชัน ผู้ขับขี่ควรใช้เกียร์ต่ำเนื่องจากสาเหตุใด",ในการขับขี่ลงทางลาดชัน ผู้ขับขี่ควรใช้เกียร์ต่ำเพื่อหน่วงความเร็วของรถ,เพื่อเพิ่มกำลังของรถ,false,เพื่อหน่วงความเร็วของรถ,true,เพื่อลดความร้อนของเครื่องยนต์,false,เพื่อเพิ่มความเร็วของรถ,false,,เทคนิคการขับรถอย่างปลอดภัย
"เพราะเหตุใดจึงไม่ควรใช้เบรกอย่างต่อเนื่องเป็นเวลานานในขณะขับขี่ลงทางลาดชัน",ไม่ควรใช้เบรกอย่างต่อเนื่องเป็นเวลานานในขณะขับขี่ลงทางลาดชันเพราะ จะทำให้ผ้าเบรกไหม้,จะทำให้เสียเวลาในการเดินทาง,false,จะทำให้เปลืองน้ำมัน,false,จะทำให้ผ้าเบรกไหม้,true,จะทำให้รถเคลื่อนตัวได้ช้า,false,,เทคนิคการขับรถอย่างปลอดภัย
"ในการขับขี่ลุยน้ำ ผู้ขับขี่ควรปฏิบัติอย่างไร",ในการขับขี่ลุยน้ำ ผู้ขับขี่ควรลดความเร็วลง แต่เร่งเครื่องยนต์ให้มากกว่าปกติเล็กน้อย,ลดความเร็วลง แต่เร่งเครื่องยนต์ให้มากกว่าปกติเล็กน้อย,true,เปิดไฟฉุกเฉิน,false,ขับรถด้วยความเร็วมากขึ้น,false,ขับรถด้วยความเร็วปกติ,false,,เทคนิคการขับรถอย่างปลอดภัย
"เหตุใดขณะขับรถลุยน้ำจึงต้องเร่งเครื่องยนต์มากกว่าปกติเล็กน้อย",ขณะขับรถลุยน้ำต้องเร่งเครื่องยนต์มากกว่าปกติเล็กน้อยเพื่อป้องกันไม่ให้เครื่องยนต์ดับ,เพื่อให้รถมีความเร็วคงที่,false,เพื่อให้เครื่องยนต์ร้อน,false,เพื่อให้รถมีความเร็วมากขึ้น,false,เพื่อป้องกันไม่ให้เครื่องยนต์ดับ,true,,เทคนิคการขับรถอย่างปลอดภัย
"ท่านควรปฏิบัติอย่างไรขณะขับรถผ่านบริเวณน้ำท่วม",ท่านควรขับช้าๆ ตามหลังรถคันหน้าในระยะห่างพอสมควรขณะขับรถผ่านบริเวณน้ำท่วม,ขับช้าๆ ตามหลังรถคันหน้าในระยะห่างพอสมควร,true,พยายามไม่ใช้เบรกโดยเด็ดขาด,false,พยายามขับจี้ท้ายรถคันหน้าตลอดเวลา,false,เปิดไฟฉุกเฉินตลอดเวลา,false,,เทคนิคการขับรถอย่างปลอดภัย
"หลังจากขับรถผ่านบริเวณน้ำท่วม ท่านควรทดสอบระบบใดต่อไปนี้",หลังจากขับรถผ่านบริเวณน้ำท่วม ท่านควรทดสอบระบบเบรก,ระบบสตาร์ทเครื่องยนต์,false,ระบบไฟฟ้า,false,ระบบเบรก,true,ระบบช่วงล่าง,false,,เทคนิคการขับรถอย่างปลอดภัย
"ข้อใดต่อไปนี้คือประโยชน์สูงสุดของการชะลอรถด้วยเครื่องยนต์ในขณะลงทางลาดชัน",ลงทางลาดชันด้วยความปลอดภัย คือประโยชน์สูงสุดของการชะลอรถด้วยเครื่องยนต์ในขณะลงทางลาดชัน,ลงทางลาดชันด้วยความปลอดภัย,true,ลดการสึกหรอของผ้าเบรก,false,ช่วยประหยัดน้ำมัน,false,เพิ่มการทรงตัวของรถ,false,,เทคนิคการขับรถอย่างปลอดภัย
